theta:6.985693E-01, phi:3.318057E+00, threshold:4.897570E-06, Time: 874.773288
theta:5.611769E-01, phi:1.521511E+00, threshold:1.776233E-06, Time: 902.550519
theta:3.954760E-01, phi:2.455102E+00, threshold:4.869774E-07, Time: 960.512743
theta:2.009518E+00, phi:2.943359E+00, threshold:2.402534E-04, Time: 826.491684
theta:2.619528E+00, phi:4.789833E+00, threshold:3.498816E-04, Time: 1979.850213
theta:1.127198E+00, phi:1.873141E+00, threshold:2.264393E-05, Time: 2771.561490
theta:2.219728E-01, phi:2.307815E+00, threshold:nil, Time: nil
theta:2.219728E-01, phi:2.307815E+00, threshold:2.264393E-05, Time: 639.953519
theta:2.153668E+00, phi:6.663925E-01, threshold:2.434686E-04, Time: 373.554247
theta:3.128249E+00, phi:3.271282E+00, threshold:4.629859E-04, Time: 319.608596
theta:1.008261E-01, phi:3.253063E+00, threshold:nil, Time: nil
theta:1.008261E-01, phi:3.253063E+00, threshold:4.629859E-04, Time: 639.910367
theta:5.596087E-01, phi:3.500294E-02, threshold:2.022270E-06, Time: 1042.423249
theta:2.567426E+00, phi:1.228985E+00, threshold:3.377824E-04, Time: 347.912233
theta:1.685330E+00, phi:1.271905E+00, threshold:8.827354E-05, Time: 586.507456
theta:1.251390E-01, phi:8.702383E-02, threshold:nil, Time: nil
theta:1.251390E-01, phi:8.702383E-02, threshold:8.827354E-05, Time: 642.041024
theta:1.675241E+00, phi:4.379563E+00, threshold:8.728265E-05, Time: 427.134709
theta:3.093742E-01, phi:1.048426E+00, threshold:nil, Time: nil
theta:3.093742E-01, phi:1.048426E+00, threshold:8.728265E-05, Time: 719.664783
theta:2.780446E+00, phi:2.829999E+00, threshold:4.349807E-04, Time: 320.955650
theta:1.005859E+00, phi:4.152473E+00, threshold:1.618785E-05, Time: 532.416865
theta:1.928855E+00, phi:1.001717E-01, threshold:2.186398E-04, Time: 637.682489
theta:2.218113E+00, phi:3.995373E+00, threshold:2.455104E-04, Time: 480.175146
theta:1.342604E+00, phi:2.372262E+00, threshold:4.976906E-05, Time: 479.656247
theta:6.131784E-01, phi:6.028947E+00, threshold:2.887756E-06, Time: 933.288249
theta:3.711223E-01, phi:2.376006E+00, threshold:3.769262E-07, Time: 826.249127
theta:1.088145E+00, phi:5.184055E-01, threshold:2.584724E-05, Time: 585.459686
theta:1.294891E+00, phi:3.871823E+00, threshold:4.462061E-05, Time: 481.490513
theta:1.855217E+00, phi:5.107192E+00, threshold:1.246210E-04, Time: 403.989104
theta:9.040794E-01, phi:4.052900E+00, threshold:1.130798E-05, Time: 807.899209
theta:3.073769E+00, phi:5.616981E+00, threshold:4.615854E-04, Time: 320.436903
theta:1.236019E+00, phi:4.449427E+00, threshold:3.084684E-05, Time: 489.095680
theta:2.764816E+00, phi:2.210073E+00, threshold:4.108838E-04, Time: 321.175907
